Assembly_Num,Session_ID,Date,Session_Title,기술,소득,노동,이민,이주,외국인,기술_이동평균,기술_이동표준편차,기술_급증,소득_이동평균,소득_이동표준편차,소득_급증,노동_이동평균,노동_이동표준편차,노동_급증,이민_이동평균,이민_이동표준편차,이민_급증,이주_이동평균,이주_이동표준편차,이주_급증,외국인_이동평균,외국인_이동표준편차,외국인_급증
제2대,416,1950.06.19.,제2대국회 제7회(임시회) 제1차 국회본회의(전체회의) (1950.06.19.),1,0,0,0,0,1,,,false,,,false,,,false,,,false,,,false,,,false
제2대,417,1950.06.20.,제2대국회 제7회(임시회) 제2차 국회본회의(전체회의) (1950.06.20.),0,0,1,0,0,0,,,false,,,false,,,false,,,false,,,false,,,false
제2대,418,1950.10.30.,제2대국회 제8회(임시회) 제38차 국회본회의(전체회의) (1950.10.30.),0,0,0,0,0,0,,,false,,,false,,,false,,,false,,,false,,,false
제2대,419,1950.10.31.,제2대국회 제8회(임시회) 제39차 국회본회의(전체회의) (1950.10.31.),0,0,1,0,0,0,0.3333333333333333,0.5773502691896258,false,0.0,0.0,false,0.3333333333333333,0.5773502691896258,false,0.0,0.0,false,0.0,0.0,false,0.3333333333333333,0.5773502691896258,false
제2대,420,1950.11.01.,제2대국회 제8회(임시회) 제40차 국회본회의(전체회의) (1950.11.01.),3,0,0,0,0,0,0.25,0.5,true,0.0,0.0,false,0.5,0.5773502691896257,false,0.0,0.0,false,0.0,0.0,false,0.25,0.5,false
제2대,421,1950.11.02.,제2대국회 제8회(임시회) 제41차 국회본회의(전체회의) (1950.11.02.),0,1,0,0,0,0,0.8,1.3038404810405297,false,0.0,0.0,true,0.4,0.5477225575051661,false,0.0,0.0,false,0.0,0.0,false,0.2,0.447213595499958,false
제2대,422,1950.11.03.,제2대국회 제8회(임시회) 제42차 국회본회의(전체회의) (1950.11.03.),1,0,0,0,0,0,0.6,1.3416407864998738,false,0.2,0.4472135954999579,false,0.4,0.5477225575051661,false,0.0,0.0,false,0.0,0.0,false,0.0,5.268356063861754e-9,false
제2대,423,1950.11.04.,제2대국회 제8회(임시회) 제43차 국회본회의(전체회의) (1950.11.04.),1,0,1,0,0,0,0.8,1.3038404810405297,false,0.2,0.4472135954999579,false,0.2,0.4472135954999579,false,0.0,0.0,false,0.0,0.0,false,0.0,5.268356063861754e-9,false
제2대,424,1950.11.06.,제2대국회 제8회(임시회) 제44차 국회본회의(전체회의) (1950.11.06.),4,0,0,0,0,0,1.0,1.2247448713915892,true,0.2,0.4472135954999579,false,0.4,0.5477225575051661,false,0.0,0.0,false,0.0,0.0,false,0.0,5.268356063861754e-9,false
제2대,425,1950.11.07.,제2대국회 제8회(임시회) 제45차 국회본회의(전체회의) (1950.11.07.),1,0,4,0,0,0,1.8,1.6431676725154984,false,0.2,0.4472135954999579,false,0.2,0.4472135954999579,true,0.0,0.0,false,0.0,0.0,false,0.0,5.268356063861754e-9,false
